Processor,Brand,Ram_GB,Rom_GB,Battery_Capacity,Display_Quality,Android,Version,Price
Samsung,Samsung,6,64,5000,AMOLED,1,7,74000
MediaTek,vivo,4,128,5000,LCD,1,9,17990
Snapdragon,Samsung,4,64,5000,AMOLED,1,8,15999
Snapdragon,vivo,12,256,4200,AMOLED,1,11,64690
MediaTek,Samsung,6,128,5000,AMOLED,1,11,21999
Snapdragon,vivo,8,128,5000,AMOLED,1,10,18750
MediaTek,vivo,6,64,5000,LCD,1,9,26990
MediaTek,vivo,4,64,5000,LCD,1,13,9499
Samsung,Samsung,4,128,5000,AMOLED,1,9,13990
MediaTek,vivo,8,128,5000,LCD,1,11,13431
MediaTek,vivo,4,128,5000,LCD,1,10,18990
Snapdragon,vivo,6,64,5000,AMOLED,1,9,19990
Samsung,Samsung,6,128,5000,LCD,1,13,11999
MediaTek,vivo,3,32,5000,LCD,1,8,8689
Samsung,Samsung,1,8,5000,AMOLED,1,5,6374
MediaTek,Samsung,8,128,6000,AMOLED,1,14,14499
MediaTek,Samsung,1,16,5000,LCD,1,10,4999
Snapdragon,vivo,3,32,5000,LCD,1,9,9990
Snapdragon,Samsung,6,128,5000,AMOLED,1,9,30900
MediaTek,vivo,6,128,5000,LCD,1,11,17999
MediaTek,vivo,8,128,5000,LCD,1,11,16140
Snapdragon,vivo,8,128,5000,AMOLED,1,9,27990
MediaTek,vivo,2,16,5000,LCD,1,8,8990
Snapdragon,Samsung,6,128,5000,LCD,1,9,14999
Snapdragon,vivo,8,128,5000,LCD,1,11,18449
Snapdragon,vivo,8,128,5000,LCD,1,11,21990
Samsung,Samsung,4,64,5000,AMOLED,1,7,49990
MediaTek,Infinix,8,128,5000,AMOLED,1,12,18999
Snapdragon,vivo,4,64,5000,LCD,1,12,11999
Snapdragon,vivo,4,64,5000,LCD,1,7,22221
Snapdragon,Samsung,3,32,5000,LCD,1,10,9176
Snapdragon,vivo,6,128,5000,LCD,1,11,20490
MediaTek,vivo,3,32,5000,LCD,1,10,10068
Snapdragon,vivo,3,32,5000,LCD,1,11,10990
Snapdragon,Samsung,12,256,4500,AMOLED,1,10,109999
MediaTek,Samsung,6,128,5000,LCD,1,11,13990
Snapdragon,Samsung,8,128,7000,AMOLED,1,10,26999
Samsung,Samsung,4,64,5000,AMOLED,1,7,53990
MediaTek,Infinix,12,256,5000,AMOLED,1,14,26999
MediaTek,vivo,4,64,5000,LCD,1,14,7149
MediaTek,vivo,8,256,4600,AMOLED,1,13,23999
Snapdragon,vivo,8,128,5000,LCD,1,11,21990
Snapdragon,vivo,4,64,5000,LCD,1,8,23990
MediaTek,Infinix,4,128,6000,LCD,1,13,7799
Snapdragon,vivo,8,128,4200,AMOLED,1,10,28330
Snapdragon,vivo,8,128,5000,LCD,1,11,15999
Samsung,Samsung,4,64,5000,AMOLED,1,8,22300
Samsung,Samsung,6,128,5000,AMOLED,1,10,16499
MediaTek,Infinix,4,64,5000,LCD,1,11,10999
MediaTek,vivo,3,64,5000,LCD,1,9,13990
Samsung,Samsung,4,32,5000,AMOLED,1,6,46000
Snapdragon,Samsung,3,32,5000,LCD,1,9,11999
MediaTek,Samsung,4,32,5000,LCD,1,7,12999
MediaTek,Infinix,6,128,5000,LCD,1,10,13999
Snapdragon,vivo,4,64,5000,LCD,1,8,11890
MediaTek,vivo,6,64,5000,LCD,1,8,24990
MediaTek,vivo,4,64,5000,LCD,1,12,10900
MediaTek,vivo,8,256,4450,AMOLED,1,11,31990
MediaTek,vivo,4,128,5000,LCD,1,14,7759
MediaTek,vivo,2,16,5000,LCD,1,8,7990
Snapdragon,Samsung,8,128,5000,AMOLED,1,9,52000
MediaTek,Samsung,3,32,5000,LCD,1,11,6490
